0.010000 231.586233 -2.071213
0.016000 704.689146 3.067495
0.020000 979.151104 2.562433
0.032000 1480.831570 1.700113
0.040000 1625.180311 1.376750
0.080000 1909.749857 0.697298
0.100000 1945.391302 0.550407
0.160000 1998.075559 0.331449
0.320000 2012.786267 0.192454
0.500000 2059.367098 0.126083
1.000000 2061.283111 0.031134
2.000000 1958.520869 -0.067538
3.000000 1827.489027 -0.144500
4.000000 2075.521105 -0.179700
6.000000 1996.626143 -0.201036
8.000000 1938.405391 -0.264716
10.000000 1905.544569 -0.298475
16.000000 1826.234217 -0.455799
20.000000 1743.553618 -0.601754
24.000000 1805.538357 -0.667461
32.000000 1776.484051 -0.925983
40.000000 1723.138565 -1.205450
50.000000 1418.926879 -1.538533
60.000000 1257.092606 -1.765120
80.000000 802.566782 -2.202271
90.000000 625.589735 -2.350041
100.000000 601.352073 -2.335700
110.000000 604.081284 -2.515898
120.000000 478.324834 -2.706478
160.000000 178.802076 -3.055218
200.000000 104.393129 -2.976236
